,number_sta,lat,lon,height_sta,date,dd,ff,precip,hu,td,t,psl
9178062,36089003,46.662,1.798,185.0,20180603 16:00,,,0.0,74.0,287.85,292.65,
11986435,76116001,49.38,1.18,152.0,20170720 02:18,200.0,3.5,0.0,82.0,288.15,291.25,100880.0
30171780,26298001,45.23,5.071,400.0,20180915 11:12,,,0.0,,,,
24107677,26165001,44.79,4.83,98.0,20170730 02:36,,,0.0,,,,
6362319,48020003,44.199,3.632,1042.0,20170224 21:06,340.0,10.2,0.0,66.0,267.55,273.15,
28896122,4006005,44.242,6.625,1400.0,20180904 16:06,,,0.0,,,291.55,
1438892,45055001,47.99,1.78,125.0,20180125 07:00,220.0,5.4,0.0,94.0,280.15,281.05,101510.0
42928056,12005001,44.756,2.868,1107.0,20181228 23:24,60.0,6.7,0.0,99.0,271.35,271.45,
3041918,66137003,42.47,2.86,295.0,20180127 06:36,360.0,8.8,0.0,69.0,274.75,280.05,
10958877,7294001,44.3,4.26,149.0,20160404 13:00,,,0.0,,,286.95,
9367148,74136005,45.973,6.472,1430.0,20170323 03:54,120.0,1.3,0.0,84.0,272.65,275.05,
15513949,20096008,42.288,9.193,350.0,20170515 18:48,280.0,2.0,0.0,49.0,281.75,292.75,
20540068,30189001,43.857,4.406,62.0,20180625 23:24,350.0,3.3,0.0,49.0,284.05,295.25,101760.0
18947666,20268001,41.94,9.12,837.0,20160612 15:18,270.0,5.9,0.0,54.0,281.75,291.25,
19337418,56007001,47.66,-2.97,26.0,20161119 15:30,,,0.0,,,284.25,
10793125,37249001,47.52,0.47,117.0,20160630 15:06,,,0.0,,,,
6416475,72181001,47.94,0.19,52.0,20170417 17:24,360.0,5.0,0.0,49.0,276.75,287.35,102240.0
18965369,12145001,44.118,3.019,713.0,20180612 12:24,230.0,5.1,0.0,60.0,284.35,292.35,100690.0
10770565,7154005,44.73,4.08,1240.0,20160402 22:00,170.0,10.7,0.6,93.0,278.65,279.75,
5149861,38229001,45.23,5.78,469.0,20180214 09:06,,,0.0,,,,
20341715,42032001,45.53,4.54,493.0,20170627 04:30,,,0.0,84.0,287.95,290.65,
21196353,79079013,46.924,-0.755,144.0,20181218 18:12,,,0.0,,,281.35,
16890435,50615001,49.52,-1.51,61.0,20171009 21:18,,,0.0,,,286.75,
16982238,29120001,48.28,-4.44,83.0,20161011 17:48,100.0,2.8,0.0,65.0,278.15,284.45,101680.0
32742603,83069002,43.0,6.23,137.0,20171013 23:36,250.0,1.7,0.0,94.0,289.75,290.75,
34683124,12254001,44.41,2.48,579.0,20171030 21:18,20.0,1.2,0.0,83.0,272.65,275.25,102550.0
33453249,34178001,43.48,3.15,140.0,20161015 19:54,40.0,2.1,0.0,91.0,284.65,286.05,
6471881,36136001,46.93,1.17,148.0,20170418 15:42,,,0.0,,,,
32839105,83004004,43.451,6.471,55.0,20171014 20:06,,,0.0,,,288.35,
6362732,11181002,43.39,2.02,408.0,20180224 18:48,,,0.0,,,277.05,
28312752,30009001,43.98,3.44,611.0,20170904 21:36,,,0.0,,,291.55,
4502945,15122002,44.73,2.17,480.0,20170208 18:42,340.0,3.6,0.0,90.0,274.75,276.25,
30610872,20040004,42.1,9.1,1019.0,20170925 01:42,40.0,0.6,0.0,76.0,280.65,284.85,
6922822,73052002,45.488,6.209,822.0,20180301 14:18,,,0.0,,,280.55,
2909122,63417001,45.84,3.05,550.0,20160126 06:48,,,0.0,,,279.85,
23718411,38548001,45.08,5.56,1024.0,20160723 11:42,350.0,5.4,0.0,75.0,286.95,291.45,
13368474,36146001,46.47,1.67,315.0,20160812 11:12,,,0.0,,,,
42994170,20314005,42.68,9.222,128.0,20181229 12:00,,,0.0,,,287.95,
23593707,4019001,44.391,6.67,1155.0,20180721 17:54,200.0,1.4,0.0,69.0,285.05,290.85,
23698289,11004001,43.112,2.098,293.0,20180722 15:06,290.0,3.7,0.0,47.0,286.05,298.25,
4032070,29075001,48.44,-4.41,95.0,20160308 20:54,210.0,8.3,0.0,97.0,282.95,283.45,101060.0
25522159,38548001,45.08,5.56,1024.0,20160808 00:42,210.0,0.6,0.0,98.0,282.65,282.95,
13540499,20111004,42.35,9.42,780.0,20170428 12:36,,,,,,287.15,
807939,36085001,47.07,1.76,135.0,20180114 16:12,,,0.0,,,,
19941320,56165003,47.95,-2.4,65.0,20171129 19:36,300.0,2.0,0.0,90.0,275.85,277.35,
969507,12039001,43.75,2.94,858.0,20160109 11:00,,,0.0,,,281.95,
5937187,26176001,44.64,4.87,280.0,20180221 03:06,,,0.0,,,,
2621402,15101004,45.08,2.75,1238.0,20180123 16:06,,,0.0,,,278.65,
41805668,73144001,45.27,6.9,2032.0,20161227 04:12,10.0,0.6,0.0,89.0,269.65,271.25,
34423657,43130002,45.03,4.24,1130.0,20171028 15:24,340.0,6.8,0.0,62.0,273.25,280.05,
34249510,74056001,45.93,6.88,1042.0,20171027 03:18,0.0,0.0,0.0,99.0,274.25,274.35,
32880569,26168001,44.67,5.71,1059.0,20161010 19:24,340.0,2.5,0.0,79.0,273.45,276.75,
17628793,42207005,45.49,4.53,390.0,20170603 07:06,200.0,1.7,0.0,65.0,288.25,295.15,
10716885,63354004,46.033,2.804,705.0,20170403 21:42,20.0,3.2,0.0,62.0,276.75,283.75,
14255437,13028001,43.173,5.574,316.0,20180503 12:36,280.0,6.1,,,,,
17227474,61426001,48.37,0.55,168.0,20171015 11:54,,,0.0,,,294.65,
10470702,85119001,46.97,-1.13,100.0,20160625 06:00,,,0.0,94.0,285.65,286.55,
2795903,53116003,48.406,-0.441,268.0,20180217 02:48,90.0,1.4,0.2,94.0,275.45,276.35,
13989497,50020001,49.73,-1.94,8.0,20170822 12:48,90.0,8.4,0.0,86.0,291.15,293.55,101640.0
4496300,5126001,44.39,5.46,625.0,20180208 18:42,70.0,0.6,0.0,82.0,269.25,271.95,
29317069,13108004,43.83,4.64,15.0,20170913 15:30,200.0,5.7,0.0,53.0,287.95,298.15,
11015779,11124003,42.99,2.82,120.0,20160405 00:48,150.0,4.9,0.0,87.0,284.35,286.45,
21651295,62160001,50.73,1.6,68.0,20161227 13:48,360.0,0.9,0.0,79.0,276.95,280.35,104450.0
37433685,73132003,45.76,6.53,1633.0,20161119 10:54,360.0,0.7,0.0,99.0,271.65,271.75,
28130231,42207005,45.49,4.53,390.0,20160830 11:18,130.0,1.5,0.0,52.0,285.95,296.35,
4063202,56240003,47.51,-2.8,37.0,20160309 09:18,310.0,7.5,0.0,,,281.35,
38822732,20223001,42.54,9.19,510.0,20161201 10:30,190.0,1.7,0.0,54.0,273.15,281.95,
12871764,23008004,45.958,2.188,486.0,20170422 17:06,,,0.0,,,291.65,
37329062,20354008,42.153,9.149,773.0,20181114 03:30,,,0.0,,,277.75,
18225363,36219001,46.66,1.58,157.0,20161101 06:36,,,0.0,,,,
21941879,19164001,45.701,2.059,827.0,20180707 19:06,50.0,1.9,0.0,59.0,285.15,293.45,
24420386,73179005,45.58,5.86,410.0,20160729 13:06,,,0.0,,,,
5342531,73255003,45.34,6.31,460.0,20160216 06:18,0.0,0.0,0.0,89.0,273.15,274.75,
10334076,56069001,47.652,-3.502,41.0,20180623 02:12,70.0,6.5,0.0,71.0,282.85,288.05,
11736253,28407001,48.258,0.91,235.0,20170715 21:30,320.0,0.9,0.0,60.0,283.85,291.75,
31758947,19073006,45.399,2.059,610.0,20180928 22:18,30.0,4.4,0.0,70.0,282.45,287.85,
18054904,37023002,47.177,1.212,126.0,20171029 05:18,,,0.0,97.0,282.75,283.25,
12985378,27422001,49.224,1.28,31.0,20160806 02:12,280.0,1.3,0.0,95.0,284.15,284.95,
4793954,83061007,43.5,6.81,550.0,20170211 07:00,80.0,3.0,0.0,87.0,276.25,278.25,
16133449,7204008,45.0,4.37,1014.0,20160518 23:24,280.0,3.5,0.0,90.0,279.75,281.25,
19234204,20004002,41.918,8.793,9.0,20180614 19:42,90.0,1.6,0.0,81.0,290.45,293.85,100930.0
39048690,20047006,42.331,9.021,811.0,20181128 00:00,250.0,2.7,0.0,76.0,273.95,277.85,
6694073,56178003,48.06,-2.95,83.0,20160422 08:30,270.0,2.3,0.0,81.0,282.65,285.85,
6880549,26258001,44.62,4.98,211.0,20180301 05:36,,,0.0,,,,
1585058,34217001,43.72,3.86,85.0,20180114 17:48,10.0,0.9,0.0,96.0,280.05,280.65,
4472499,28190001,48.09,1.67,132.0,20170316 07:18,,,0.0,100.0,278.25,279.05,
29303947,43137003,45.314,4.231,777.0,20180908 02:54,190.0,1.4,0.0,93.0,281.35,282.45,
14950115,83116022,43.48,5.85,294.0,20160508 16:54,120.0,7.5,0.0,68.0,282.25,288.15,
10333895,20114002,41.505,9.104,23.0,20180330 22:30,250.0,5.2,0.0,85.0,283.35,285.85,100620.0
17928757,30101001,44.07,4.14,185.0,20170605 22:36,320.0,1.9,0.0,57.0,282.75,291.45,
15981531,26002003,45.252,4.822,153.0,20180518 03:48,340.0,1.3,0.0,85.0,284.35,286.85,
27757997,73227006,45.4,6.63,2005.0,20160827 06:12,40.0,0.7,0.0,69.0,284.35,290.05,
7663791,26330001,45.27,4.93,245.0,20180307 22:48,,,0.0,,,,
18513910,38191002,45.088,6.086,1860.0,20180608 15:42,330.0,2.0,0.0,78.0,282.35,286.05,
39864501,81192005,43.633,2.825,1022.0,20181204 11:42,320.0,5.8,0.0,97.0,280.45,280.85,
8382890,28252002,48.25,0.99,267.0,20160521 00:18,,,0.0,97.0,284.55,285.25,
23358858,43150001,45.099,4.061,1020.0,20160720 09:42,,,0.0,,,302.55,
267846,1034004,45.77,5.69,330.0,20180103 07:36,350.0,1.1,0.0,100.0,279.85,279.85,
33524113,12063003,43.987,3.182,794.0,20161016 10:54,,,0.0,,,287.05,
12607409,79329001,46.99,-0.21,81.0,20160730 19:48,,,0.0,,,,
10125810,61001001,48.446,0.11,145.0,20180619 15:00,60.0,0.9,0.0,61.0,288.95,296.95,102510.0
3290964,29278001,48.17,-3.73,138.0,20160225 11:30,20.0,1.6,0.0,58.0,273.05,280.75,
3270158,6005001,43.92,7.01,1173.0,20170129 04:12,360.0,2.1,0.0,88.0,273.15,274.95,
18794655,63417001,45.84,3.045,550.0,20180611 01:12,,,0.0,,,288.15,
15625295,20004002,41.92,8.79,9.0,20170516 18:24,0.0,0.0,0.0,70.0,287.45,293.05,102350.0
19384919,6004002,43.565,7.133,72.0,20180616 02:42,40.0,2.5,,,,,
15636292,13004003,43.51,4.694,1.0,20160514 13:36,350.0,9.7,0.0,48.0,285.05,296.75,
13390662,14357002,48.93,-0.69,223.0,20160812 20:06,,,0.0,,,289.35,
24356607,19073006,45.399,2.059,610.0,20180728 04:42,330.0,2.0,0.2,84.0,288.55,291.25,
12493596,37067003,47.261,0.404,60.0,20180729 01:36,,,0.0,,,,
29531499,30175001,44.268,4.43,120.0,20180910 01:12,,,0.0,,,287.55,
26360674,11004001,43.11,2.1,293.0,20170818 20:36,260.0,4.9,0.0,87.0,290.95,293.15,
11118913,28198001,48.06,1.38,127.0,20170705 13:06,90.0,5.4,0.0,27.0,283.85,305.15,101450.0
10529187,85163001,47.0,-2.26,3.0,20160626 05:24,340.0,2.6,0.0,84.0,284.55,287.25,
39127163,63003004,45.517,3.743,555.0,20181128 14:54,170.0,1.5,0.0,66.0,278.05,284.15,
20495772,29168001,48.039,-4.732,67.0,20181207 17:54,270.0,17.7,,,,,
7476950,35281001,48.07,-1.73,37.0,20160505 10:36,100.0,6.1,0.0,39.0,277.85,292.15,101630.0
13603162,6118002,43.679,6.809,694.0,20160427 04:48,320.0,6.6,0.0,38.0,268.25,281.75,
39818185,4136001,43.98,6.52,920.0,20161210 01:18,0.0,0.0,0.0,91.0,266.65,267.85,
15572709,23008004,45.958,2.188,486.0,20160514 00:18,,,0.0,,,284.45,
345168,62076002,50.75,1.91,117.0,20160106 20:42,,,0.0,,,279.25,
39798467,13031002,43.39,5.6,201.0,20161209 21:12,,,0.0,,,276.25,
29852144,30175001,44.27,4.43,120.0,20170918 07:42,,,0.0,,,285.45,
21216288,28198001,48.06,1.38,127.0,20161220 10:54,200.0,1.9,0.0,87.0,274.55,276.55,102250.0
868395,26074001,44.96,5.42,879.0,20180108 12:24,180.0,2.9,0.0,39.0,271.45,284.95,
28195419,11016003,43.101,2.503,240.0,20180829 18:12,250.0,3.6,0.0,63.0,290.25,297.65,
1495646,5007003,44.8,6.73,1825.0,20160114 00:24,0.0,0.0,0.0,74.0,258.55,262.25,
34319482,63319002,45.576,3.886,1263.0,20171027 17:48,340.0,6.2,0.0,94.0,279.15,280.05,
10019541,36089003,46.66,1.8,185.0,20160617 17:42,,,0.0,,,,
8014471,78465001,48.86,1.69,102.0,20170514 10:30,260.0,3.2,0.0,,,289.45,
1554352,76481001,49.53,0.09,95.0,20170126 19:18,100.0,6.7,0.0,69.0,269.55,274.65,101550.0
37183007,83051001,43.521,6.252,279.0,20181112 22:48,150.0,1.7,0.0,90.0,285.95,287.55,
11609357,14366002,49.17,0.23,62.0,20160714 05:54,,,0.0,,,285.15,
37811899,5070003,44.319,5.795,565.0,20181118 01:42,300.0,1.9,0.0,94.0,272.05,272.85,
35392312,6083005,43.79,7.49,216.0,20171106 00:42,350.0,6.6,0.0,78.0,279.45,283.15,
20641222,83044003,43.659,6.471,892.0,20160627 03:18,320.0,3.5,0.0,64.0,279.35,286.05,
5932018,15060002,44.8,3.01,1080.0,20170221 03:30,220.0,0.9,0.0,99.0,274.85,274.95,
41195873,26035001,44.78,5.14,370.0,20171226 10:12,,,0.0,,,,
25341579,42005001,45.53,4.29,402.0,20160806 11:06,340.0,4.3,0.0,53.0,284.25,294.25,102620.0
19342535,29120001,48.28,-4.44,83.0,20171119 18:30,260.0,2.1,0.0,86.0,281.95,284.25,102580.0
13053619,5170001,44.452,6.033,600.0,20170424 07:00,0.0,0.0,0.0,80.0,279.55,282.85,101970.0
4275039,53185001,48.452,-0.183,277.0,20180313 21:00,,,0.0,,,279.85,
33389693,30130001,44.34,3.96,519.0,20161015 06:30,,,0.0,,,282.05,
18430432,50215002,49.108,-1.607,7.0,20161104 16:00,180.0,5.2,0.0,92.0,280.75,281.95,
4156339,56159001,47.77,-2.39,65.0,20180311 21:24,200.0,7.1,0.0,92.0,281.95,283.15,
17792631,83042001,43.262,6.51,20.0,20180602 12:48,,,0.0,,,298.05,
5064888,72172003,48.08,0.59,112.0,20170326 04:18,70.0,0.6,0.0,74.0,275.15,279.45,
27178801,63125002,45.754,3.572,455.0,20180821 04:00,130.0,1.5,0.0,95.0,287.35,288.15,
37638966,74056001,45.93,6.88,1042.0,20171125 12:24,220.0,1.6,0.0,95.0,275.15,275.85,
9840777,62826001,50.51,1.62,20.0,20170614 03:00,130.0,1.6,0.0,84.0,282.65,285.25,101880.0
35915971,5183001,44.88,6.64,1310.0,20161106 08:12,70.0,4.2,0.2,87.0,274.35,276.35,
41375848,42019004,45.76,4.01,430.0,20161223 11:54,,,0.0,,,,
35507983,34274001,43.779,3.729,214.0,20181030 03:48,250.0,3.9,0.0,68.0,274.05,279.55,
13162588,23001001,46.09,2.03,460.0,20170425 05:42,,,0.0,,,,
34723726,26292002,44.295,5.41,625.0,20181023 17:12,240.0,3.0,0.0,53.0,276.65,286.05,
37054536,30175001,44.27,4.43,120.0,20171120 11:30,,,0.0,,,287.75,
11517501,38191002,45.09,6.09,1860.0,20160409 08:30,320.0,1.5,0.0,86.0,269.15,271.15,
37431378,6037002,43.75,6.92,1268.0,20161119 10:30,310.0,10.2,0.0,57.0,273.35,281.35,
40316919,12077002,43.922,3.192,718.0,20181208 02:18,310.0,5.3,0.2,85.0,275.05,277.35,
21968257,30081002,44.135,4.708,30.0,20160708 12:12,,,0.0,,,,
25492921,6050002,43.792,7.048,985.0,20180806 18:48,,,0.0,,,295.15,
37238730,6004009,43.6,7.11,30.0,20161117 18:36,,,0.0,,,283.35,
1910396,83093005,43.34,5.73,605.0,20170117 10:24,,,0.0,,,272.95,
2865204,22168001,48.83,-3.47,58.0,20180218 06:48,240.0,4.2,0.0,99.0,282.95,283.15,102030.0
33458618,26191001,44.545,4.824,136.0,20181013 05:36,,,0.0,,,,
17034846,29155005,48.473,-5.057,68.0,20181012 09:06,170.0,15.5,0.0,84.0,286.75,289.45,100500.0
16191977,34269001,43.39,2.86,258.0,20170521 17:30,150.0,4.1,0.0,38.0,279.95,294.85,
12859393,7064001,44.91,4.42,450.0,20160420 20:00,,,0.0,72.0,,,
22275703,19136002,45.53,2.15,670.0,20160711 03:18,,,0.0,,,,
15115870,29293001,47.841,-3.869,25.0,20180910 13:36,220.0,4.1,0.0,75.0,289.35,293.95,
15495549,36089003,46.66,1.8,185.0,20170916 16:18,,,0.0,,,,
17608109,29082001,48.75,-4.01,32.0,20161022 02:36,130.0,4.0,,,,,
8245463,44184001,47.23,-2.3,14.0,20170518 06:48,330.0,1.9,,,,,
36578745,20169007,42.47,9.2,240.0,20161112 01:48,,,0.0,87.0,276.95,279.15,
18397675,14216001,48.93,-0.15,155.0,20161104 03:00,200.0,1.8,0.0,85.0,275.55,277.85,
21776492,5158001,44.476,5.816,801.0,20180706 09:36,,,0.0,,,295.85,
10402421,76473001,49.49,0.77,4.0,20170623 13:48,270.0,2.6,0.0,72.0,285.75,290.85,
14845706,76473001,49.494,0.771,4.0,20180906 01:48,300.0,1.6,0.0,96.0,289.15,289.75,
11238895,53185001,48.452,-0.183,277.0,20160708 01:36,,,0.0,,,289.05,
10594970,26327001,44.69,5.43,545.0,20160401 09:30,350.0,1.5,0.0,92.0,279.75,280.95,
3149562,62076002,50.75,1.91,117.0,20170222 06:24,,,0.0,,,282.45,
17636293,41173003,47.904,1.522,128.0,20181022 08:18,360.0,5.3,0.0,84.0,282.45,285.05,
8092715,37055002,47.48,0.255,87.0,20180516 12:42,,,0.0,,,,
10001995,80182003,50.187,1.521,4.0,20180617 13:36,260.0,7.8,0.0,69.0,284.95,290.75,
9443253,28214003,48.48,1.01,200.0,20160608 03:00,,,0.0,,,285.75,
556491,11203004,43.173,2.729,60.0,20180105 19:30,90.0,1.2,0.0,96.0,282.85,283.45,100530.0
17264733,5126001,44.39,5.46,625.0,20160529 05:12,50.0,1.8,0.4,93.0,283.35,284.45,
1021721,50209001,49.65,-1.46,138.0,20160118 06:24,130.0,7.8,0.0,97.0,273.85,274.25,101160.0
580832,26258001,44.62,4.98,211.0,20170105 23:30,,,0.0,80.0,270.65,273.65,
11981384,79309001,46.62,-0.57,247.0,20160720 11:18,220.0,3.0,0.0,94.0,291.65,292.65,
1099113,28280003,48.314,0.839,180.0,20180119 14:00,,,,71.0,275.85,280.75,101670.0
682744,13091002,43.6,5.32,250.0,20180106 21:42,90.0,6.1,0.0,68.0,279.55,285.25,
27882485,42039003,45.699,3.844,990.0,20170901 03:42,230.0,1.6,0.0,97.0,275.75,276.15,
33002908,5181002,45.031,6.362,1665.0,20171016 06:54,100.0,0.6,0.0,78.0,270.35,273.75,
41260198,26264002,44.43,5.37,475.0,20161222 12:00,,,0.0,,,281.45,
38497298,42052002,46.164,4.174,278.0,20181123 14:24,,,0.0,,,,
21767599,78354001,48.964,1.674,123.0,20181227 18:36,220.0,1.8,0.0,100.0,272.75,272.75,
21732541,41152001,47.536,1.73,96.0,20181227 05:18,0.0,0.0,0.0,97.0,270.65,271.05,
14803367,26327001,44.694,5.428,545.0,20180508 03:48,260.0,0.6,0.0,97.0,281.85,282.35,
15074761,28002001,48.191,1.847,133.0,20180909 21:12,,,0.0,59.0,284.25,292.35,
18962865,56017003,47.88,-2.73,112.0,20171113 08:54,30.0,1.0,0.0,77.0,275.55,279.25,
30086454,30130001,44.34,3.96,519.0,20170920 09:24,,,0.0,,,289.45,
40930253,38133001,45.355,5.596,300.0,20181212 23:06,70.0,3.5,0.0,74.0,270.15,274.25,
10007505,5126001,44.388,5.462,625.0,20180328 03:00,250.0,1.6,0.0,77.0,278.05,281.85,
13817520,34205001,43.79,3.25,844.0,20170430 22:24,300.0,8.1,0.0,100.0,274.15,274.15,
11867226,73257003,45.297,6.51,2800.0,20160412 08:30,230.0,7.8,,,,,
12096558,22247002,48.74,-3.25,55.0,20160722 09:18,360.0,0.5,0.0,,,294.55,
5785498,50209001,49.653,-1.464,138.0,20180408 04:42,320.0,0.7,0.0,95.0,280.25,281.05,100740.0
1037623,48105001,44.748,3.828,967.0,20160110 01:06,,,0.0,,,,
9109419,44184001,47.23,-2.3,14.0,20170601 17:12,290.0,4.6,,,,,
6393549,49331003,47.679,-0.873,25.0,20180418 07:54,,,0.0,,,289.45,
41949960,30339001,44.12,3.58,1564.0,20161228 09:48,50.0,6.7,0.0,22.0,259.35,279.55,
1889674,53116003,48.41,-0.44,268.0,20160201 21:30,250.0,6.4,0.0,98.0,282.45,282.75,
1016828,6120004,44.26,6.92,1150.0,20170109 17:42,,,0.0,,,272.75,
25218468,26064001,44.91,4.97,164.0,20170808 20:06,360.0,1.3,0.0,91.0,289.95,291.45,101560.0
3752483,6059003,43.74,7.36,677.0,20160202 14:18,,,0.0,,,282.45,
6084790,76552001,49.51,0.07,104.0,20160412 03:12,140.0,2.4,0.0,85.0,278.75,281.15,100760.0
40965805,84085004,43.94,5.23,488.0,20171224 10:06,150.0,1.0,0.0,65.0,275.95,282.15,
2484602,1027003,45.83,5.11,196.0,20170122 09:30,,,,95.0,266.95,267.65,
25588657,63006002,45.32,3.02,1270.0,20160808 14:30,,,0.0,,,296.95,
14374062,66187006,42.821,2.485,300.0,20160503 18:30,290.0,6.5,0.0,44.0,276.55,288.75,
6215057,6136005,43.86,7.43,843.0,20160223 17:42,20.0,1.7,0.0,93.0,280.05,281.15,
22652318,26167001,44.62,5.45,537.0,20160714 08:54,,,0.0,,,,
20033512,83075001,43.317,6.358,147.0,20160621 22:12,,,0.0,,,289.05,
9683802,26047001,44.54,5.45,965.0,20180325 08:00,,,0.0,,,275.35,
41596977,38375009,44.946,6.188,1564.0,20161225 09:24,,,0.0,,,275.55,
20400251,79049004,46.84,-0.516,191.0,20181206 05:48,250.0,5.6,0.0,93.0,283.75,284.85,
20714155,26330001,45.272,4.931,245.0,20180627 10:42,,,0.0,,,,
16710232,14296001,48.795,-1.037,336.0,20181006 23:48,,,0.8,,,283.15,
17112288,61006005,48.72,0.01,170.0,20171013 13:54,260.0,2.6,0.0,63.0,287.15,294.45,
5569303,7172002,45.29,4.71,480.0,20170218 00:00,340.0,4.3,0.0,72.0,275.15,279.85,
19045006,73139001,45.659,6.177,832.0,20170615 18:24,,,0.0,,,295.25,
5436756,6004009,43.6,7.11,30.0,20170216 20:30,,,0.0,,,282.45,
30565185,13022003,43.22,5.5,212.0,20170924 15:54,280.0,4.5,0.0,59.0,286.95,295.35,
18533921,76217001,49.93,1.09,40.0,20161106 09:18,320.0,7.9,0.0,70.0,275.45,280.55,100580.0
29176115,43093001,45.27,3.74,1020.0,20160908 12:06,,,0.0,,,296.65,
5635509,34055003,43.67,2.98,424.0,20170218 13:42,,,0.0,,,286.45,
2152500,74045001,45.8,6.368,925.0,20180119 15:24,,,0.0,,,275.25,
6569978,7159001,44.58,4.5,275.0,20180226 13:30,,,0.0,,,273.35,
3457661,76481001,49.53,0.09,95.0,20170227 09:12,160.0,6.2,0.2,90.0,280.25,281.85,99620.0
37465360,1200002,46.09,5.482,596.0,20181115 06:12,,,0.0,,,280.05,
36798771,26198001,44.58,4.73,74.0,20161113 23:24,30.0,5.4,0.0,85.0,279.35,281.75,102420.0
11087138,26281001,45.05,5.0,158.0,20160405 15:36,,,0.0,,,,
29119270,20272004,41.65,8.98,62.0,20160908 00:18,60.0,1.1,0.0,78.0,287.05,291.05,
41258366,6029001,43.556,6.95,4.0,20181215 13:36,180.0,3.2,0.0,65.0,277.45,283.75,101860.0
17376780,11262005,43.15,2.96,110.0,20170601 01:54,190.0,1.3,0.0,82.0,287.35,290.45,
40078571,19125001,45.28,2.04,598.0,20161212 07:18,,,0.0,,,,
19168014,26220010,44.36,5.12,316.0,20160614 12:36,,,0.0,,,,
8416203,5070003,44.32,5.79,565.0,20170314 20:18,320.0,3.3,0.0,62.0,275.55,282.45,
